"Partido","Numero Lista","Nombre Lista","Distrito","Cargo","Nombre","Posicion"
"ALIANZA FRENTE CAMBIA JUJUY","502","B - UNAMOS JUJUY","JUJUY","DIPUTADO NACIONAL TITULAR","- ALIANZA FRENTE CAMBIA JUJUY, LISTA: B - UNAMOS JUJUY. DIPUTADO NACIONAL SUPLENTE","50"
"POR UN PUEBLO UNIDO","208","JUJUY UNIDO","JUJUY","DIPUTADO NACIONAL TITULAR","QUINTAR, EDIL","1"
"POR UN PUEBLO UNIDO","208","JUJUY UNIDO","JUJUY","DIPUTADO NACIONAL TITULAR","ARROYO, GABRIELA ADRIANA","2"
"POR UN PUEBLO UNIDO","208","JUJUY UNIDO","JUJUY","DIPUTADO NACIONAL TITULAR","MARTINEZ, JUAN CARLOS    volver","3"
"POR UN PUEBLO UNIDO","208","JUJUY UNIDO","JUJUY","DIPUTADO NACIONAL SUPLENTE","SORIA, SEGUNDO HECTOR "TITO"","1"
"POR UN PUEBLO UNIDO","208","JUJUY UNIDO","JUJUY","DIPUTADO NACIONAL SUPLENTE","RIOS, ELOY","2"
"POR UN PUEBLO UNIDO","208","JUJUY UNIDO","JUJUY","DIPUTADO NACIONAL SUPLENTE","CALDERON, MARTA HORTENSIA            volver","3"
"POR UN PUEBLO UNIDO","208","JUJUY UNIDO","JUJUY","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL","VAZQUEZ, JORGE ALBERTO      volver","1"
"POR UN PUEBLO UNIDO","208","JUJUY UNIDO","JUJUY","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL","PARRA, PABLO","1"
"POR UN PUEBLO UNIDO","208","JUJUY UNIDO","JUJUY","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL","FARFAN, DELIA ELDA volver","2"
"UNION POPULAR","23","CON FE Y ESPERANZA","JUJUY","DIPUTADO NACIONAL TITULAR","ARNEDO, FERNANDO ERNESTO","1"
"UNION POPULAR","23","CON FE Y ESPERANZA","JUJUY","DIPUTADO NACIONAL TITULAR","LANDRIEL, JULIETA SOLEDAD","2"
"UNION POPULAR","23","CON FE Y ESPERANZA","JUJUY","DIPUTADO NACIONAL TITULAR","PELAGATTI, CLAUDIA DANIELA           volver","3"
"UNION POPULAR","23","CON FE Y ESPERANZA","JUJUY","DIPUTADO NACIONAL SUPLENTE","IBARRA, LUCIA","1"
"UNION POPULAR","23","CON FE Y ESPERANZA","JUJUY","DIPUTADO NACIONAL SUPLENTE","MAMANI, IRMA ROSANA","2"
"UNION POPULAR","23","CON FE Y ESPERANZA","JUJUY","DIPUTADO NACIONAL SUPLENTE","LUZCO, FELIPE    volver","3"
