"Partido","Numero Lista","Nombre Lista","Distrito","Cargo","Nombre","Posicion"
"DE LOS TRABAJADORES SOCIALISTAS","198","1A - RENOVAR Y FORTALECER EL FRENTE","SAN LUIS","DIPUTADO","GOMEZ, JOHANA ANAHI","1"
"DE LOS TRABAJADORES SOCIALISTAS","198","1A - RENOVAR Y FORTALECER EL FRENTE","SAN LUIS","DIPUTADO","LEDE ZAJIC, JORGE NAHUEL","2"
"DE LOS TRABAJADORES SOCIALISTAS","198","1A - RENOVAR Y FORTALECER EL FRENTE","SAN LUIS","DIPUTADO","MONTIVEROS, ALBERTO HIPOLITO","1"
"DE LOS TRABAJADORES SOCIALISTAS","198","1A - RENOVAR Y FORTALECER EL FRENTE","SAN LUIS","DIPUTADO","TOLEDO, LILIANA DE LOS ANGELES","2"
"DE LOS TRABAJADORES SOCIALISTAS","198","1A - RENOVAR Y FORTALECER EL FRENTE","SAN LUIS","DIPUTADO","MONTIVEROS GARCIA, CARLOS ALFREDO","1"
"DE LOS TRABAJADORES SOCIALISTAS","198","1A - RENOVAR Y FORTALECER EL FRENTE","SAN LUIS","DIPUTADO","IACONIS FINOCCHI, GONZALO DAVID","1"
"DE LOS TRABAJADORES SOCIALISTAS","198","1A - RENOVAR Y FORTALECER EL FRENTE","SAN LUIS","DIPUTADO","NAVARRO, ELIANA MARIANELA","2"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","UNIDAD","SAN LUIS","DIPUTADO NACIONAL TITULAR","MA•RQUEZ, BENICIO CESAR","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","UNIDAD","SAN LUIS","DIPUTADO NACIONAL TITULAR","GOMEZ, VIVIANA NATALIA","2"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","UNIDAD","SAN LUIS","DIPUTADO NACIONAL","AMADO, IVA•N DARI•O","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","UNIDAD","SAN LUIS","DIPUTADO NACIONAL","LIMBRICI DAGFAL, GUADALUPE NAHIR","2"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","UNIDAD","SAN LUIS","PARLAMENTARIO MERCOSUR","TOLOMEI, PEDRO GUSTAVO","1"
