"Partido","Numero Lista","Nombre Lista","Distrito","Cargo","Nombre","Posicion"
"DEL CAMPO POPULAR","180","A - NUEVA DEMOCRACIA","SANTA FE","DIPUTADO NACIONAL TITULAR","MANSILLA, OSCAR DANIEL","1"
"DEL CAMPO POPULAR","180","A - NUEVA DEMOCRACIA","SANTA FE","DIPUTADO NACIONAL TITULAR","BORGOGNO, ANA MARIA","2"
"DEL CAMPO POPULAR","180","A - NUEVA DEMOCRACIA","SANTA FE","DIPUTADO NACIONAL TITULAR","CABAÑA, ORLANDO AGUSTIN","3"
"DEL CAMPO POPULAR","180","A - NUEVA DEMOCRACIA","SANTA FE","DIPUTADO NACIONAL TITULAR","BELLINI, JOSE LUIS","4"
"DEL CAMPO POPULAR","180","A - NUEVA DEMOCRACIA","SANTA FE","DIPUTADO NACIONAL TITULAR","VALIENTE, ALICIA MARIA","5"
"DEL CAMPO POPULAR","180","A - NUEVA DEMOCRACIA","SANTA FE","DIPUTADO NACIONAL TITULAR","BANCHO, NESTOR JOSE","6"
"DEL CAMPO POPULAR","180","A - NUEVA DEMOCRACIA","SANTA FE","DIPUTADO NACIONAL TITULAR","SOTO, MIGUEL IGNACIO","7"
"DEL CAMPO POPULAR","180","A - NUEVA DEMOCRACIA","SANTA FE","DIPUTADO NACIONAL TITULAR","PACE, PATRICIA ELISABET","8"
"DEL CAMPO POPULAR","180","A - NUEVA DEMOCRACIA","SANTA FE","DIPUTADO NACIONAL TITULAR","MANSILLA, DANIEL DARIO","9"
"DEL CAMPO POPULAR","180","A - NUEVA DEMOCRACIA","SANTA FE","DIPUTADO NACIONAL TITULAR","BONAZZOLA, EMA MARIA","10"
"DEL CAMPO POPULAR","180","A - NUEVA DEMOCRACIA","SANTA FE","DIPUTADO NACIONAL SUPLENTE","AMADEI, SERGIO MIGUEL","1"
"DEL CAMPO POPULAR","180","A - NUEVA DEMOCRACIA","SANTA FE","DIPUTADO NACIONAL SUPLENTE","BANCHO, VERONICA ANDREA","2"
"DEL CAMPO POPULAR","180","A - NUEVA DEMOCRACIA","SANTA FE","DIPUTADO NACIONAL SUPLENTE","NAGEL, CINTIA YAMILA","3"
"DEL CAMPO POPULAR","180","A - NUEVA DEMOCRACIA","SANTA FE","DIPUTADO NACIONAL SUPLENTE","SOTO, MARICEL SOLEDAD","4"
"DEL CAMPO POPULAR","180","A - NUEVA DEMOCRACIA","SANTA FE","DIPUTADO NACIONAL SUPLENTE","MARINUZZI, PAMELA ROCIO","5"
"DEL CAMPO POPULAR","180","A - NUEVA DEMOCRACIA","SANTA FE","DIPUTADO NACIONAL SUPLENTE","CORREA, EDUARDO","6"
"DEL CAMPO POPULAR","180","A - NUEVA DEMOCRACIA","SANTA FE","PARLAMENTARIO MERCOSUR DISTRITO","MARTINEZ, NORMA BEATRIZ","1"
"DEL CAMPO POPULAR","180","A - NUEVA DEMOCRACIA","SANTA FE","PARLAMENTARIO MERCOSUR DISTRITO","GIMENEZ, ANGEL ANTONIO","1"
"DEL CAMPO POPULAR","180","A - NUEVA DEMOCRACIA","SANTA FE","PARLAMENTARIO MERCOSUR DISTRITO","BECERRO, JOSE ALBERTO","2"
"DEL CAMPO POPULAR","180","A - NUEVA DEMOCRACIA","SANTA FE","SENADOR NACIONAL TITULAR","ARELLANO, RAUL","1"
"DEL CAMPO POPULAR","180","A - NUEVA DEMOCRACIA","SANTA FE","SENADOR NACIONAL TITULAR","CARIAGA, MARTA ELIZABETH","2"
"DEL CAMPO POPULAR","180","A - NUEVA DEMOCRACIA","SANTA FE","SENADOR NACIONAL SUPLENTE","PACE, JORGE ALBERTO","1"
"DEL CAMPO POPULAR","180","A - NUEVA DEMOCRACIA","SANTA FE","SENADOR NACIONAL SUPLENTE","VERGARA, LORENA VERONICA","2"
"UNITE POR LA LIBERTAD Y LA DIGNIDAD","188","A - GENTE EN ACCION","SANTA FE","DIPUTADO NACIONAL","FORNERO, CARLOS DANIEL","1"
